City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mogadishu,SO,76.32,light rain,2.0371,45.3438,Hotel Juba
2,Great Falls,US,83.66,haze,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
5,Hithadhoo,MV,82.02,overcast clouds,-0.6,73.0833,Scoop Guest House
8,Kapaa,US,80.92,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Nanning,CN,84.52,light rain,22.8167,108.3167,Nanning Travelling With Hostel
12,Atuona,PF,77.77,overcast clouds,-9.8,-139.0333,Villa Enata
15,Butaritari,KI,82.26,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Jamestown,US,78.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
25,Takoradi,GH,78.91,broken clouds,4.8845,-1.7554,Raybow International Hotel
29,Apam,GH,78.22,broken clouds,5.2848,-0.7371,Spanish Villa
32,Saint Anthony,US,84.34,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
33,Basco,PH,83.93,light rain,20.4487,121.9702,Nathaniel's Lodge
34,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
45,Asau,RO,75.4,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
53,Bethel,US,75.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
54,Arroyo,ES,85.14,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
58,Cayenne,GF,86.09,mist,4.9333,-52.3333,Hôtel Le Dronmi
62,Georgetown,MY,82.89,thunderstorm,5.4112,100.3354,Cititel Penang
64,Samarai,PG,77.36,broken clouds,-10.6167,150.6667,Nuli Sapi
66,Manzanillo,CU,87.75,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
67,Qui Nhon,VN,85.17,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
75,Vila Franca Do Campo,PT,77.41,clear sky,37.7167,-25.4333,Pestana Bahia Praia
77,Hobyo,SO,77.47,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
78,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
79,Bengkulu,ID,76.28,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
92,Silvania,BR,82.36,overcast clouds,-16.6589,-48.6081,Hotel Dom Bosco
96,Nara,JP,81.25,clear sky,34.6851,135.8049,Guesthouse Nara Komachi
97,El Bagre,CO,83.64,overcast clouds,7.5927,-74.8086,Hotel Real
100,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
103,Lincoln,US,81.12,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
114,Aloleng,PH,82.06,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
117,Kindersley,CA,77.38,clear sky,51.4668,-109.1682,Kindersley Inn
119,Quzhou,CN,77.99,light rain,28.9594,118.8686,Quzhou Jiujiu Business Hotel
122,Ha Giang,VN,80.37,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
125,Faanui,PF,78.94,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Harper,LR,78.28,light rain,4.375,-7.7169,Screensaver
129,Vicosa Do Ceara,BR,85.82,broken clouds,-3.5622,-41.0922,Pousada Sitio Ipe
130,Beihai,CN,85.77,light rain,21.4833,109.1,21 Degree Hostel
136,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
142,Beachwood,US,80.65,clear sky,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
146,Peachland,CA,84.67,clear sky,49.7665,-119.7357,Wine Stopper B&B
149,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
151,Hami,CN,87.55,clear sky,42.8,93.45,Laoyutang Resort
153,Havelock,US,75.18,mist,34.8791,-76.9013,Sherwood Motel
155,Sorong,ID,77.76,overcast clouds,-0.8833,131.25,waigo splash hotel
156,Roma,US,79.86,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
161,Sao Filipe,CV,78.26,overcast clouds,14.8961,-24.4956,Hotel Xaguate
168,Kloulklubed,PW,84.07,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
173,Kokopo,PG,76.21,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
175,Kavieng,PG,81.14,broken clouds,-2.5744,150.7967,Nusa Island Retreat
176,Ailigandi,PA,84.51,broken clouds,9.2333,-78.0167,Akwa Reef Lodge
181,Dingle,PH,78.31,light rain,10.9995,122.6711,SEGAYA PROPERTY
182,Banswada,IN,77.74,overcast clouds,18.3833,77.8833,Bc Boys Hostel
184,Kalmunai,LK,82.51,overcast clouds,7.4167,81.8167,VS Villa
186,Ucluelet,CA,77.04,broken clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
187,Tevaitoa,PF,78.53,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
190,Mandera,KE,87.69,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
199,Tual,ID,80.78,light rain,-5.6667,132.75,Grand Vilia Hotel
207,Guerrero Negro,MX,79.09,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
208,Changde,CN,77.79,clear sky,29.0464,111.6783,Kangshida Hotel
210,Agadir,MA,77.45,few clouds,30.4202,-9.5982,Iberostar Founty Beach
211,Naze,JP,78.15,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
213,Bay Roberts,CA,75.65,broken clouds,47.5999,-53.2648,Stonewall Inn
216,Marshfield,US,80.44,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
217,Aleksandrovskoye,RU,87.94,light rain,44.7142,43.0008,Mini hotel Tranzit
218,Sinnamary,GF,84.25,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
220,Moose Factory,CA,79.11,scattered clouds,51.2585,-80.6094,Moosonee Lilypad
223,Morganton,US,81.59,broken clouds,35.7454,-81.6848,Hampton Inn Morganton
228,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
231,Paracuru,BR,86.02,few clouds,-3.41,-39.0306,Hotel Vento Brasil
234,Yichang,CN,80.78,light rain,30.7144,111.2847,Gezhouba Hotel
237,Katsuura,JP,78.91,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
238,Veraval,IN,81.64,overcast clouds,20.9,70.3667,Lords Inn Somnath
239,Komsomolskiy,UZ,86.72,broken clouds,40.4272,71.7189,Ikathouse
241,Lucea,JM,86.86,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
245,Itapetinga,BR,76.78,overcast clouds,-15.2489,-40.2478,Hotel Del Rey
248,San Cristobal,VE,75.2,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
251,Meulaboh,ID,77.14,overcast clouds,4.1363,96.1285,Kost Pria
252,Gunjur,GM,86.07,scattered clouds,13.2019,-16.7339,Kuba Lodge
255,Trat,TH,76.19,overcast clouds,12.5,102.5,สวนหนิง-อัศ
258,Buala,SB,78.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
259,Quchan,IR,78.17,clear sky,37.106,58.5095,گلیم دستبافت کیمیایی
260,Gobindapur,IN,82.35,light rain,22.5931,88.0914,Arifaq Khatun
263,Maragogi,BR,76.15,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
264,Bairiki,KI,77.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
265,Constantine,DZ,86.5,scattered clouds,36.365,6.6147,Grand Hotel Cirta
266,Torrington,US,75.69,overcast clouds,41.8007,-73.1212,The Yankee Pedlar Inn
267,Vavoua,CI,75.7,moderate rain,7.3819,-6.4778,Hotel Le Peuple
269,Shu,KZ,83.25,clear sky,43.5983,73.7614,Shyngyzkhan
277,Labuhan,ID,78.21,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
280,Buchanan,LR,80.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
288,Kieta,PG,77.56,few clouds,-6.2167,155.6333,Uruna Bay Retreat
289,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
291,Lorengau,PG,79.9,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
293,Vanimo,PG,77.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
295,Esqueda,MX,85.39,clear sky,30.7167,-109.5833,Hotel Esqueda
299,Axim,GH,79.38,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
306,Manggar,ID,81.99,broken clouds,-2.8833,108.2667,Guest Hotel
314,Sherman,US,87.62,broken clouds,33.6357,-96.6089,La Quinta Inn & Suites by Wyndham Sherman
316,Forestville,US,82.24,scattered clouds,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
317,Vero Beach,US,78.06,mist,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
319,Shelburne,CA,79.27,clear sky,44.0787,-80.2041,The Retreat at the Farm
323,Pryshyb,UA,77.25,scattered clouds,47.2603,35.3228,Pechʹ Pod Kazan
329,Yima,CN,76.75,clear sky,34.7381,111.8839,Yima Hotel
330,Santa Rosa,PH,84.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
331,Circleville,US,82.81,overcast clouds,39.6006,-82.946,"Holiday Inn Express & Suites Circleville, an IHG Hotel"
332,Seoul,KR,78.31,overcast clouds,37.5683,126.9778,롯데호텔 서울
333,Kilinochchi,LK,80.64,overcast clouds,9.3961,80.3982,Solaivanam Guest House
334,Progreso,MX,87.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
337,Dhidhdhoo,MV,82.8,overcast clouds,6.8833,73.1,Dhidhoo beach
341,Rapid City,US,82.33,smoke,44.0805,-103.231,"Hotel Alex Johnson Rapid City, Curio Collection by Hilton"
346,Hambantota,LK,79.9,overcast clouds,6.1241,81.1185,Bungalow 63
348,Ajaccio,FR,78.78,clear sky,42.0,8.9167,Sole E Monte
350,Ugoofaaru,MV,82.72,overcast clouds,5.6667,73.0,Ungoofaaru Inn
352,Bodden Town,KY,87.8,few clouds,19.2833,-81.25,Will T Place
357,Asfi,MA,75.7,clear sky,32.2994,-9.2372,Hôtel Abda
358,Les Cayes,HT,86.95,scattered clouds,18.2,-73.75,Villa Orphee
361,Port-Gentil,GA,77.18,scattered clouds,-0.7193,8.7815,Fengshui Residence
370,Praia Da Vitoria,PT,78.76,clear sky,38.7333,-27.0667,Hotel Branco I
371,Florence,IT,86.05,scattered clouds,43.7667,11.25,Italiana Hotels Florence
378,Guhagar,IN,79.0,overcast clouds,17.4842,73.1929,Hotel Seawinds
379,Mambatangan,PH,76.55,overcast clouds,8.4333,124.8333,fkidz trading
381,Buluang,PH,81.72,overcast clouds,13.3068,123.3425,Enon Beach Resort
382,Portland,US,78.49,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
383,Tura,IN,75.54,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
386,Hope,US,84.25,few clouds,33.6671,-93.5916,Best Western Hope
387,Ponta Do Sol,PT,81.72,scattered clouds,32.6667,-17.1,Hotel do Campo
390,Santa Rosalia,MX,87.19,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
399,Rupert,US,80.04,clear sky,42.6191,-113.6772,Uptown Motel
402,Westport,US,76.6,broken clouds,41.1415,-73.3579,The Westport Inn
403,Ternate,ID,80.83,light rain,0.8,127.4,Grand Dafam Bela Ternate
404,Omboue,GA,77.9,broken clouds,-1.5746,9.2618,Hotel Olako
407,Seondha,IN,79.57,overcast clouds,26.1578,78.7797,रामोराम मंदिर (पं. लक्ष्मी कांत दीक्षित)
410,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
414,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
417,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
418,Williston,US,84.61,scattered clouds,48.147,-103.618,Hampton Inn & Suites Williston
419,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
422,Pundaguitan,PH,83.71,scattered clouds,6.3711,126.1689,Leonardo Family Beach House 1
429,Tortoli,IT,83.82,broken clouds,39.9256,9.6572,Hotel La Bitta
440,Shevchenkove,UA,76.78,overcast clouds,49.6959,37.1735,Hotelʹ Komunalʹnoho Pidpryyemstva Akva
445,Kabin Buri,TH,77.13,overcast clouds,13.9511,101.7177,At Home Kabinburi
447,Honiara,SB,75.02,scattered clouds,-9.4333,159.95,Heritage Park Hotel
448,Teknaf,BD,79.11,broken clouds,20.8624,92.3058,Forestry Guesthouse
449,Kavaratti,IN,81.9,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
451,Fort-Shevchenko,KZ,87.04,clear sky,44.5086,50.263,Oasis hotel Bautino
452,Pandan,PH,83.97,overcast clouds,14.0453,124.1694,Bonifacio Lodge
457,Narasannapeta,IN,81.3,light rain,18.4167,84.05,G.lingaraju home
458,Sal Rei,CV,79.36,light intensity drizzle,16.1833,-22.9167,Marine Club Beach Resort
465,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
466,Oktyabrskiy,RU,82.71,overcast clouds,54.4815,53.471,Уязы-Тау гостиница
468,Plattsburgh,US,82.31,overcast clouds,44.6995,-73.4529,La Quinta Inn & Suites by Wyndham Plattsburgh
470,Redmond,US,79.74,scattered clouds,47.674,-122.1215,Seattle Marriott Redmond
471,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
472,Sao Joao Da Barra,BR,75.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
473,Karabulak,RU,84.76,broken clouds,43.3036,44.8964,U Yakh'i
475,Torbat-E Jam,IR,86.83,few clouds,35.244,60.6225,White building
476,Castrillon,ES,79.21,broken clouds,43.3979,-6.7922,HR PALACIO DE PRELO 4 estrellas
477,Sao Jose Da Coroa Grande,BR,76.41,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
480,Muisne,EC,78.62,overcast clouds,0.6,-80.0333,Quinta Samay
483,Wewak,PG,78.19,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
490,Malakal,SS,76.48,light rain,9.5334,31.6605,Nile Palace Hotel
491,Eyl,SO,78.66,broken clouds,7.9803,49.8164,Amiin Hotel
492,The Valley,AI,86.83,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
497,Arnold,GB,75.47,broken clouds,53.0,-1.1333,Best Western Bestwood Lodge Hotel
498,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
499,Uige,AO,81.5,scattered clouds,-7.6087,15.0613,Hotel Catraio
504,Sabang,ID,83.03,overcast clouds,5.8933,95.3214,Hotel Citra
506,Lasem,ID,78.15,few clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
507,Bombay,IN,84.88,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
511,Kutum,SD,85.23,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
515,Dhing,IN,83.62,broken clouds,26.4667,92.4667,Girl's Dormitory
517,Goderich,CA,80.04,clear sky,43.7501,-81.7165,Harmony Inn
528,Itarema,BR,87.66,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
529,Lander,US,76.98,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
531,Ordzhonikidzevskaya,RU,85.91,broken clouds,43.3211,45.0522,Pvd Sop Uvd Po Mo
532,Liku,ID,76.03,broken clouds,-0.7275,119.8922,Wahyu
535,Sao Gabriel Da Cachoeira,BR,84.76,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
536,Governador Valadares,BR,80.83,broken clouds,-18.8511,-41.9494,Hotel Panorama
543,Udalguri,IN,82.83,broken clouds,26.7667,92.1333,"Army Camp, Golandi"
546,Paita,PE,75.76,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
549,Mayumba,GA,75.87,broken clouds,-3.432,10.6554,LIKWALE LODGE
556,Muzaffarpur,IN,76.93,heavy intensity rain,26.1167,85.4,Hotel Ranjeet
557,Canguaretama,BR,82.38,broken clouds,-6.38,-35.1289,Pousada do Italiano
559,Vila Do Maio,CV,81.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
564,Houlton,US,79.72,broken clouds,46.1262,-67.8403,Ivey's Motor Lodge Houlton
568,San Policarpo,PH,80.53,overcast clouds,12.1791,125.5072,JM Lodge
571,Batticaloa,LK,82.2,overcast clouds,7.7102,81.6924,Grand Star Guest House
577,Rio Verde De Mato Grosso,BR,85.46,overcast clouds,-18.9181,-54.8442,Hotel Valência
578,Lata,PT,84.04,few clouds,40.1629,-8.3327,Casa Maquia
580,Sukhumi,GE,79.23,scattered clouds,43.0033,41.0153,Ritsa Hotel
585,Nouakchott,MR,85.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
595,Lamu,KE,75.42,clear sky,-2.2717,40.902,Lamu House
602,Deep River,CA,77.43,clear sky,46.1001,-77.4995,Deep River Motel
608,Anito,PH,80.71,broken clouds,12.4497,125.2886,The Yellow House
609,Sabzevar,IR,86.94,broken clouds,36.2126,57.6819,پزشکی قانونی سبزوار
614,Bereda,ES,82.42,few clouds,43.2686,-7.5406,Pazo de Verdes
619,Mantua,IT,79.92,overcast clouds,45.1667,10.7833,Hotel la Favorita
622,Sola,VU,77.22,scattered clouds,-13.8833,167.55,Leumerus Bungalows
624,Miandrivazo,MG,80.26,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
626,Bambanglipuro,ID,75.49,light rain,-7.95,110.2833,Puri Brata
640,Puerto Del Rosario,ES,78.55,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
647,Joao Pinheiro,BR,81.21,overcast clouds,-17.7425,-46.1725,Hotel Santos
654,Dakar,SN,86.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
658,Hatta,IN,76.71,overcast clouds,24.1167,79.6,Agrawal Marriage Garden Bharat Tent House
659,Laurel,US,82.63,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
661,Sitia,GR,83.98,clear sky,35.2,26.0986,Sitia Bay
